LOGO,LOGOW,Initials,HLTV Name,Name,PLAYER 1,PLAYER 2,PLAYER 3,PLAYER 4,PLAYER 5,PLAYER 6,Wiki,HLTV
[🇺🇸](#eg,TRUE,EG,,Evil Geniuses,🇺🇸 autimatic,🇺🇸 Brehze,🇧🇬 CeRq,🇺🇸 RUSH,🇺🇸 Stewie2K ♛,🇫🇷 maLeK,https://liquipedia.net/counterstrike/Evil_Geniuses,https://www.hltv.org/team/10399/evil-geniuses
[🇺🇸](#eg,TRUE,EG,EG.CD,Evil Geniuses,🇺🇸 chop,🇺🇸 CLASIA,🇨🇦 HexT,🇨🇦 Walco ♛,🇺🇸 wiz,🇺🇸 Axed,https://liquipedia.net/counterstrike/Evil_Geniuses,https://www.hltv.org/team/11734/egpa
[🇺🇸](#eg,TRUE,EG White,EG White,Evil Geniuses White,🇺🇸 ben1337 ♛,🇨🇦 djay,🇨🇦 Jonji,🇺🇸 PwnAlone,🇺🇸 viz,🇺🇸 Muenster,https://liquipedia.net/counterstrike/Evil_Geniuses_White,https://www.hltv.org/team/11734/eg-white
extrasalt,FALSE,ES,,Extra Salt,ca) FaNg,us) floppy,us) Grim,za) JT ♛,us) junior,za) T.c,https://liquipedia.net/counterstrike/Extra_Salt,https://www.hltv.org/team/10948/extra-salt
[🇸🇪](#lang-se,FALSE,EYEBALLERS,EYEBALLERS,EYEBALLERS,🇸🇪 flusha,🇸🇪 JW ♛,🇸🇪 Sapec,🇸🇪 SHiNE,🇸🇪 Svedjehed,,https://liquipedia.net/counterstrike/EYEBALLERS,https://www.hltv.org/team/11737/eyeballers
FFF,,,,,,,,,,,,
[🇪🇺](#falcons,FALSE,Falcons,Falcons,Team Falcons,🇩🇰 karrigan ♛,🇷🇺 kyousuke,🇷🇺 m0NESY 𖦏,🇧🇦 NiKo,🇩🇰 TeSeS,🇩🇰 zonic,https://liquipedia.net/counterstrike/Team_Falcons,https://www.hltv.org/team/11283/falcons
fate,FALSE,FATE,,FATE Esports,bg) hybrid,bg) niki1 ♛,bg) Patrick,bg) shaiK,bg) spyleadeR,un),https://liquipedia.net/counterstrike/FATE_Esports,https://www.hltv.org/team/9863/fate
[🇪🇺](#faze,TRUE,FaZe,FaZe,FaZe Clan,🇸🇰 frozen,🇵🇱 jcobbb,🇨🇦 Twistzz ♛,🇩🇰 JBOEN 𖦏,🇫🇷 Neityu,🇩🇪 enkay J,https://liquipedia.net/counterstrike/FaZe_Clan,https://www.hltv.org/team/6667/faze
[🇸🇪](#lang-se,FALSE,Finest,Finest,Team Finest,🇮🇱 anarkez,🇸🇪 kreaz,🇸🇪 PlesseN,🇸🇪 twist,🇪🇪 shokz,🇵🇱 Bogdan,https://liquipedia.net/counterstrike/Team_Finest,https://www.hltv.org/team/10276/finest
[🇧🇷](#lang-br,FALSE,Fluxo,Fluxo,Fluxo,🇧🇷 felps,🇧🇷 Lucaozy,🇧🇷 lux,🇧🇷 vsm,🇧🇷 WOOD7,,,https://www.hltv.org/team/11837/fluxo
[🇪🇺](#fnatic,FALSE,Fnatic,fnatic,Fnatic,🇸🇪 HEAP,🇸🇪 KRIMZ,🇬🇧 mezii ♛,🇩🇰 nicoodoz,🇩🇰 roeJ,🇬🇧 keita,https://liquipedia.net/counterstrike/Fnatic,https://www.hltv.org/team/4991/fnatic
[🇪🇺](#fnatic,FALSE,FnaticR,fnatic Rising,Fnatic Rising,🇫🇮 Banjo,🇩🇰 Maze ♛,🇸🇪 Peppzor,🇬🇧 volt,🇺🇸 WolfY,🇩🇰 cube,https://liquipedia.net/counterstrike/Fnatic_Rising,https://www.hltv.org/team/11195/fnatic-rising
[🇵🇹](#lang-pt,FALSE,FTW,FTW,For The Win Esports,🇵🇹 Ag1l,🇵🇹 arrozdoce,🇵🇹 DDias ♛,🇵🇹 kst,🇵🇹 stadodo,🇵🇹 vts,https://liquipedia.net/counterstrike/For_The_Win_Esports,https://www.hltv.org/team/7379/ftw
[🇷🇺](#forze,FALSE,forZe,forZe,forZe,🇷🇺 Jerry ♛,🇷🇺 KENSI,🇷🇺 Norwi,🇷🇺 shalfey,🇷🇺 zorte,🇷🇺 Fierce,https://liquipedia.net/counterstrike/ForZe,https://www.hltv.org/team/8135/forze
fpx,FALSE,FPX,,FunPlus Phoenix,rs) emi,dk) Farlig,me) Maden,sk) STYKO,fi) zehN,un),https://liquipedia.net/counterstrike/FunPlus_Phoenix,https://www.hltv.org/team/10671/funplus-phoenix
[🇧🇷](#furia,FALSE,FURIA AC,FURIA Academy,FURIA Academy,🇧🇷 Bruninho,🇧🇷 decenty,🇧🇷 kauez,🇧🇷 koala,🇧🇷 zmb ♛,🇧🇷 msr,https://liquipedia.net/counterstrike/FURIA_Academy,https://www.hltv.org/team/8885/furia-academy
[🇧🇷](#furia,FALSE,FURIA,FURIA,FURIA Esports,🇧🇷 yuurih,🇧🇷 KSCERATO,🇧🇷 FalleN ♛,🇰🇿 molodoy 𖦏,🇱🇻 YEKINDAR,🇧🇷 sidde,https://liquipedia.net/counterstrike/FURIA_Esports,https://www.hltv.org/team/8297/furia
[🇧🇷](#furia,FALSE,FURIA FE,FURIA fe,FURIA Esports Female,🇧🇷 GaBi,🇧🇷 izaa,🇧🇷 kaah,🇧🇷 mari,🇧🇷 Olga,,https://liquipedia.net/counterstrike/FURIA_Esports_Female,https://www.hltv.org/team/10976/furia-fe
[🇦🇷](#lang-ar,FALSE,Furious,Furious,Furious Gaming,🇦🇷 ABM,🇺🇾 Andrew,🇦🇷 KAISER ♛,🇰🇿 laser,🇦🇷 peqexino,🇦🇷 nch,https://liquipedia.net/counterstrike/Furious_Gaming,https://www.hltv.org/team/6799/furious
[🇪🇺](#fut,FALSE,FUT,FUT,FUT Esports,🇺🇦 dem0n,🇽🇰 Krabeni ♛,🇺🇦 cmtry 𖦏,🇱🇹 dziugss,🇹🇷 xfl0ud,🇭🇺 coolio,,https://www.hltv.org/team/13286/fut
GGG,,,,,,,,,,,,
[🇪🇺](#g2,TRUE,G2,G2,G2 Esports,🇧🇦 huNter- ♛,🇮🇱 HeavyGod,🇸🇰 MATYS,🇮🇱 NertZ,🇺🇦 r1nkle 𖦏,🇪🇸 SunPayus,https://liquipedia.net/counterstrike/G2_Esports,https://www.hltv.org/team/5995/g2
[🇺🇸](#lang-us,FALSE,GG,Gaimin Gladiators,Gaimin Gladiators,🇺🇸 Bwills,🇺🇸 cynic ♛,🇺🇸 JazzPimp,🇺🇸 jeorgesnorts,🇺🇸 nosraC,🇨🇦 SEMPHIS,https://liquipedia.net/counterstrike/Gaimin_Gladiators,https://www.hltv.org/team/11571/gaimin-gladiators
gambit,FALSE,Gambit,,Gambit Esports,ru) Ax1Le,kz) HObbit,ru) interz,ru) nafany ♛,ru) sh1ro,ru) groove,https://liquipedia.net/counterstrike/Gambit_Esports,https://www.hltv.org/team/6651/gambit
[🇸🇪](#gamerleg,FALSE,GL,,Team GamerLegion,🇸🇪 eraa,🇷🇴 iM,🇸🇪 isak,🇸🇪 RuStY ♛,🇸🇰 Zero,🇬🇧 ashhh,https://liquipedia.net/counterstrike/Team_GamerLegion,https://www.hltv.org/team/9928/gamerlegion
geng,TRUE,Gen.G,,Gen.G Esports,us) autimatic,id) BnTeT,us) koosta,se) kreaz,se) Xizt,un),https://liquipedia.net/counterstrike/Gen.G_Esports,
[🇧🇷](#godsent,FALSE,GODSENT,GODSENT,GODSENT,🇧🇷 b4rtiN,🇧🇷 dumau,🇧🇷 HEN1,🇧🇷 latto,🇧🇷 TACO ♛,🇧🇷 cky,https://liquipedia.net/counterstrike/GODSENT,https://www.hltv.org/team/6902/godsent
[🇳🇴](#godsent,FALSE,GODSENT FE,GODSENT fe,GODSENT Female,🇱🇻 Ann4,🇫🇷 ASTRA,🇳🇴 aurora,🇳🇴 Minnie,🇳🇴 pullox,,,
[🇦🇺](#grayhound,FALSE,Grayhound,Grayhound,Grayhound Gaming,🇦🇺 aliStair,🇦🇺 INS ♛,🇦🇺 Liazz,🇳🇿 Sico,🇦🇺 Vexite,,https://liquipedia.net/counterstrike/Grayhound_Gaming,https://www.hltv.org/team/8008/grayhound
HHH,,,,,,,,,,,,
hardleg,FALSE,HL,,Hard Legion Esports,ru) BELCHONOKK,ru) dekzz,ru) Raijin,ru) svyat,ru) waterfaLLZ,un),https://liquipedia.net/counterstrike/Hard_Legion_Esports,
[🇫🇮](#havu,FALSE,HAVU,HAVU,HAVU Gaming,🇫🇮 Aerial,🇫🇮 doto ♛,🇫🇮 spargo,🇫🇮 xseveN,🇫🇮 zehN,🇫🇮 xartE,https://liquipedia.net/counterstrike/HAVU_Gaming,https://www.hltv.org/team/7865/havu
[🇫🇷](#lang-fr,FALSE,HEET,HEET,HEET,🇫🇷 afro,🇫🇷 bodyy ♛,🇫🇷 Djoko,🇫🇷 Ex3rcice,🇫🇷 JACKZ,🇫🇷 Lucky,https://liquipedia.net/counterstrike/HEET,https://www.hltv.org/team/11501/heet
hr,FALSE,HR,,HellRaisers,il) anarkez,lv) Flarich,ru) JIaYm,lt) kalinka,ru) ProbLeM,un),https://liquipedia.net/counterstrike/HellRaisers,
[🇩🇰](#heroic,TRUE,Heroic,Heroic,Heroic,🇩🇰 cadiaN ♛,🇩🇰 jabbi,🇩🇰 sjuush,🇩🇰 stavn,🇩🇰 TeSeS,🇩🇰 refrezh,https://liquipedia.net/counterstrike/Heroic,https://www.hltv.org/team/7175/heroic
